,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
1464,Teatro dos Doze||reportagem,,,,,A estréia dessa noite no Ginástico
1465,Teatro Brasileiro de Comédia||reportagem,,,,,O mentiroso
1466,Teatro Brasileiro de Comédia||reportagem,,,,,Teatro Brasileiro de Comédia
1467,Teatro Universitário||reportagem,,,,,O pai de Strindberg pelo Teatro Universitário
1468,Teatro dos Doze||reportagem,Paschoal Carlos Magno,,,,Jaime Barcelos tem apenas 19 anos de se coloca no primeiro plano de nossos artistas cômicos
1469,Teatro dos Doze||reportagem,G. de A.,,,,Sociais Arlequim
1470,Teatro dos Doze||reportagem,G. de A.,,,,Socias
1471,Teatro dos Doze||reportagem,,,,,Sobre o Teatro dos 12
1472,Teatro dos Doze||reportagem,Accioly Netto,,,,Simbita Hamlet
1473,Teatro dos Doze||propaganda,,,,,Simbita e o dragão louvada na Academia Brasileira de Letras
1474,Teatro dos Doze||propaganda,,,,,Teatro Ginástico
1475,Teatro dos Doze||reportagem,,,,,Simbita e o dragão premiere Ginástico
