,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
72,Textos Espetáculo||digitado,Máximo Gorki,"Elenco: Renata Sorrah, Rodrigo Santiago, Sergio Britto, Tetê Medina, Ítalo Rossi, Suzana Faini, Luis de Lima, Yara Amaral, Walter Marins, Vinícius Salvatore, Pedro Veras e Nildo Parente. Direção: Sergio Britto. No Teatro dos 4. Cenógrafo Hélio Eichbauer. Música de David Tygel",1978,,Os veranistas
73,Textos Espetáculo||digitado,Clovis Levy,"Elenco: Sergio Britto, Telma Costa, Antonio Carlos Feio, Totia Meirelles, Leonardo Serrano, Jorge Lima, Selmo Goldmacher, Carlinhos Costa, Nildo Parente, Sandra Louzada, Alexandre Padilha, Elen Brandão, Isabel Azevedo e Luciana Victor. Direção: Sergio Britto. No Teatro Delfin. Figurinos Ricardo Venâncio. Coreografia Fabio de Mello e iluminação de Paulo César Medeiros.",1994,,Na era do rádio
74,Textos Espetáculo||digitado,,,,,Liberdade em Bremen
75,Textos Espetáculo||digitado,Lillian Hellmann em tradução de Beatriz Segall | Marco Antonio Guerra,,2004,,Pequena raposa
76,Textos Espetáculo||digitado,Péricles Barros,,,,O natal do menino imperador
77,Textos Espetáculo||digitado,Eduvaldo Vianna Filho,,,,Longa noite de cristal
78,Textos Espetáculo||digitado,,,,,Imperador Jones
79,"Ai, Ai Brasil||digitado",Mauro Rasi,"Elenco: Sergio Viotti, Cleyde Yáconis, Lilian Cabral, Reinaldo Gonzaga, Cláudio Mamberti, Thelma Reston, Roberto Frota e Luiz Cláudio e Daniel Dantas. Direção: Mauro Rasi.",1991,,O baile de máscaras
80,Textos Espetáculo||digitado,Samuel Beckett,Elenco: Sergio Britto. Direção: Isabel Cavalcanti. No Teatro Oi Futuro.,2008,,A última gravaçã de Krapp
81,"Ai, Ai Brasil||digitado",Clovis Levy | Sergio Britto,"Elenco: Suely Franco, Sérgio Britto, Camilo Bevilaqua, Nedira Campos, Jalusa Barcelos, Rafael Aragon, Vic Militello, Nildo Parente, Serjão Loroza, Patrícia Costa, Beth Lammas e Rogério Freitas. Direção Sérgio Britto. Cenografia Zbigniew Wieckowski, figurinos de Marcello Marques e iluminação de Rogério Wiltgen. Música de Caique Botkay e coreografia de Fabio de Mello.",2000,,"Ai, ai Brasil"
82,"Sábado, Domingo e Segunda",,"Elenco: Sergio Britto, Paulo Goulart, Paulo Grancindo, Guilherme Karan, Yara Amaral, Renata Fronzi, Monica Torres, Pedro Veras, Ary Fontoura e Cristina Pereira. Mario Borges substitui Guilherme Karan||Direção: José Wilker. No Teatro dos 4. Cenários de Paulo Mamede e figurinos de Mimina Roveda.",1986,,"Sábado, domingo e segunda"
83,O Cortiço,,"Elenco: Tonico Pereira, Nildo Parente, Ênio Santos, Neuza Borges, Nadira Campos, Ana Maria Jansen, Alberto Damit, Antonio Carlos Feio, Arehy Jr., Beto Pacheco, Claudia Ribeiro, Eduardo Torres, Ellen Brandão, Eli Mendes, Eliana Monteiro, Helena Ritter, Isabel Azevedo, Leonardo Serrano, Luciana Victor, Marco Santos, Morgana Bittencourt, Paulo Duque Estrada, Ricardo Galvão, Rodrigo Vasconcelos, Rogério Rodrigues, Ronaldo Damas, Sandra Louzada, Valéria Monã e Victor Vauban Jr. Direção: Sérgio Britto.",1993,,O cortiço
84,Textos Espetáculo||digitado,Eduardo de Filippo,"1986 Peça Sábado, domingo e segunda de Eduardo de Filippo traduzido por Millôr Fernandes. Prêmio Moliere melhor diretor José Wilker, Prêmio Moliere melhor atriz Yara Amaral, Prêmio Mambembe melhor diretor José Wilker, Prêmio Mambembe melhor ator Ary Fontoura, Prêmio Mambembe melhor ator coadjuvante Paulo Gracindo e Prêmio Mambembe melhor atriz coadjuvante Cristina Pereira.
Elenco: Sergio Britto, Paulo Goulart, Paulo Grancindo, Guilherme Karan, Yara Amaral, Renata Fronzi, Monica Torres, Pedro Veras, Ary Fontoura e Cristina Pereira. Mario Borges substitui Guilherme Karan, Direção: José Wilker. No Teatro dos 4. Cenários de Paulo Mamede e figurinos de Mimina Roveda.
É a história do almoço dominical de uma família napolitana, usado como pretexto para solução de problemas emocionais.",,,"Sábado, domingo e egunda"
85,Textos Espetáculo||digitado,Eugene O'Neill,"2002 Peça Longa Jornada de um dia noite adentro de Eugene O'Neill.
Elenco: Sergio Britto, Cleyde Yacônis, Marco Antônio Pamio e Genésio de Barros. Direção: Naum Alves de Souza.
Nela estão todas as mazelas enfrentadas pela família, como alcoolismo, consumo de drogas, mágoa e depressão. Dirigida por Naum Alves de Souza, a peça narra um único dia na vida da infeliz família Tyrone, reunindo Sérgio Britto e Clayde Yáconis nos papéis principais. Mary, a mãe, retomou o vício da morfina, e Edmund, o filho mais novo, recebeu o diagnóstico de tuberculose. Há ainda James, o pai, frustrado por ter se consagrado num único sucesso comercial, e Jamie, o primogênito, alcoólatra e empurrado para a profissão de ator pelo pai. Um dado importante, o Edmundo da peça é o alter ego do próprio O´Neill.",,,Longa jornada de um dia noite a dentro
86,Textos Espetáculo||digitado,Hélio Sussekind,"2010 Peça Recordar é viver de Hélio Sussekind.
Elenco: Sueli Franco, Sérgio Britto, José Roberto Jardim, Camilo Bevilacqua, Ana Jansen e Anna Cecília Junqueira. Direção: Eduardo Tolentino de Araújo.
Sergio Britto e Suely Franco vivem marido e mulher, Alberto e Ana, na velhice às voltas com o azedume que pode marcar a vida em família. Casados há mais de 50 anos, os septuagenários Ana e Alberto vivem às turras, em parte devido as mágoas e carências acumuladas ao longo do tempo, mas sobretudo no que diz respeito à relação de ambos com Henrique, filho caçula do casal, que aos 30 anos ainda mora com os pais e almeja ser dramaturgo. Mas como não consegue ver encenada a única peça que escreveu, nega-se a trabalhar em qualquer outra atividade e assim permanece completamente dependente dos pais para sobreviver. João, seu irmão mais velho, é a sua antítese - já saiu de casa há muito tempo, é um homem bem sucedido e não se conforma com a atitude dos pais em relação a Henrique, por julgá-la excessivamente protetora. Completando a família, Paula é uma mulher que, após diversas experiências amorosas, retornou à casa paterna temporariamente. Temos ainda a personagem Bruna, namorada de Henrique, que tenta fervorosamente convencê-lo a reescrever sua peça e mais adiante se empenha em fazê-lo acreditar que pode dar um novo rumo à sua vida.",,,Recordar é viver
87,Textos Espetáculo||digitado,Lars Norén,"2006 Peça Outono Inverno de Lars Norén.
O espetáculo conta a história de uma família formada por uma mãe opressora, um marido submisso e duas filhas de meia idade. Durante uma refeição eles deixam aflorar as mágoas contidas e os sentimentos mais profundos. Texto inédito no Brasil. Uma trama familiar na qual pai, mãe e duas filhas devassam intimidades. Na peça escrita em 1987, Laura e Sergio encarnam o casal Margareta e Erik. Ela interpreta uma mãe terrível, que não demonstra carinho nem entende o comportamento das filhas, enquanto ele assume o papel de um marido reprimido. A falta de amor entre ambos afeta profundamente as filhas do casal.
Elenco: Laura Cardoso, Denise Weinberg, Sergio Britto e Emilia Rey. Direçào: Eduardo Tolentino de Araújo.",,,Outono Inverno
88,Textos Espetáculo||digitado,João Assis | Marcelo Fagerlande,"2004 Dirige para o CCBB a peça Último dia, biografia do Padre José Maurício.",,,Último dia
89,Textos Espetáculo||digitado,Tadeusz Rozewicz.,"1990 Peça O casamento branco de Tadeusz Rozewicz. Tradução Millor Fernandes.
Elenco: Fabio Sabag, Othon Bastos, Suzana Faine, Tamara Taxman, Carolina Aguiar, Luciana Braga, Leonardo Bricio, Ivone Hoffmann, Tereza Bittencourt, Paolo Scandelari, Fausto Galvão e Claudio Botelho. Direção: Sergio Britto. Cenário e figurino Biza Viana. No CCBB.",,,Casamento branco ou Matrimonio branco
90,Textos Espetáculo||digitado,Jerome Kilty,"1964 Peça Meu querido mentiroso de Jerome Kilt, no Teatro Carioca que estava sendo inaugurado.
Elenco: Sergio Britto e Nathalia Timberg. Direção Antonio de Cabo. Figurinos José Renato e a cenografia de Roberto de Carvalho.

1988 Meu querido mentiroso de Jerome Kilt. Tradução de Barbara Heliodora.
Elenco: Sergio Britto e Nathalia Timberg. Direção Wolf Maya. No Teatro dos 4. Figurino Sonia Romero, iluminação Jorginho de Carvalho

1998 Meu querido mentiroso de Jerome Kilt
Elenco: Sergio Britto e Nathália Timberg.
No século XIX, George Bernard Shaw e a renomada atriz inglesa Patrick Campbell iniciam um longo relacionamento marcado por encontros freqüentes e correspondência por carta.",,,Meu querido mentiroso
91,Textos Espetáculo||digitado,Marcos Santos | Sergio Britto,"1998 Peça Meninos eu vivi de Sergio Britto e Marco Santos
Elenco: Sergio Britto, Marcia Cabral, Nedira Campos, Ignez Viana, Raul Serrador, Antonio Carlos Feio, Jorge Caetano, Eduarda Fadini, Eli Mendes e Mario Ferraro. Direção: Sergio Britto.
No lançamento da peça tinha75 anos de vida e 53 de carreira. Reunião de histórias pessoais e profissionais de Sérgio Britto, autobiografia contada em musical",,,"Meninos, eu vivi"
92,Textos Espetáculo||digitado,Luigi Pirandello,,,,Assim é se lhe parece
93,Textos Espetáculo||digitado,Luigi Pirandello,,,,Assim é se lhe parece
94,Textos Espetáculo||digitado,Harold Pinter,,,,A volta ao lar
95,Textos Espetáculo||digitado,Clovis Levy | Sergio Britto,,,,Nos tempos de Martins Pena
96,Textos Espetáculo||digitado,William Shakespeare,,,,Rei Lear
97,Textos Espetáculo||digitado,Samuel Beckett,,,,Dias Felizes
98,Textos Espetáculo,,,,,"Peso da massa, leveza do pão"
99,Meu Querido Mentiroso,,Nathalia Timberg e Sergio Britto,,,Meu querido mentiroso
100,Recordar É Viver||digitado,Hélio Sussekind,"Elenco: Sueli Franco, Sérgio Britto, José Roberto Jardim, Camilo Bevilacqua, Ana Jansen e Anna Cecília Junqueira. Direção: Eduardo Tolentino de Araújo.",,,Recordar é viver
101,Outros||digitado,William Shakespeare,,,,Bom é o que bem acaba
102,Outros||digitado,Goldoni,,,,A ansiedade pelo veraneio
103,Sergio 80,,Sergio Britto||Direção Domingos de Oliveira,2003,,Sergio 80
104,Novelas e Minisséries||reportagem,conforme legenda,,1963,conforme legenda,O matador
105,Novelas e Minisséries||reportagem,conforme legenda,,1963,conforme legenda,O desconhecido
106,Novelas e Minisséries||reportagem,conforme legenda,,1963,conforme legenda,Novela Vitória
107,Novelas e Minisséries||reportagem,conforme legenda,,1963,conforme legenda,Pouco amor não é amor
108,Novelas e Minisséries||escrito,Sergio Britto,,1963,,Álbum 1963
109,A História de Muitos Amores||reportagem,conforme legenda,,1963,conforme legenda,A história de muitos amores
110,Os Efeitos dos Raios Gama||reportagem,conforme legenda,,1974,conforme legenda,Os efeitos dos raios gama
111,Prêmios||reportagem,conforme legenda,,,conforme legenda,Prêmios
112,Novelas e Minisséries||reportagem,conforme legenda,,1974,conforme legenda,Caso Especial Mulher
113,Novelas e Minisséries||reportagem,conforme legenda,,1974,conforme legenda,Novela Supermanoela
114,A Gaivota||escrito,Sergio Britto,,1974,,Álbum número 23
115,Outros||digitado,autores diversos,,,,Projetos diversos
116,A Noite dos Campeões||escrito,Sergio Britto,,1976,,A noite dos campeões
117,Cinema||reportagem,conforme legenda,,1972,conforme legenda,"Filme Caingangue, a pontaria do diabo"
118,Outros||reportagem,conforme legenda,,1972,conforme legenda,Teatro Senac
119,O Marido Vai a Caça||reportagem,conforme legenda,,1972,conforme legenda,O marido vai a caça
120,Ídolos do Cinema,,,conforme legenda,,Fotos de artistas diversos
121,Televisão||reportagem,conforme legenda,,1968,conforme legenda,Studio 9
122,"Sábado, Domingo e Segunda||reportagem",conforme legenda,,1986 e 1987,conforme legenda,"Sábado, domingo e segunda"
123,Recordar É Viver||reportagem,conforme legenda,,2010 e 2011,conforme legenda,Recordar é viver
124,Novelas e Minisséries||reportagem,conforme legenda,,1968,conforme legenda A muralha,A muralha
125,A Volta ao Lar||reportagem,conforme legenda,,1967,conforme legenda,conforme legenda
126,Programa Bibi Ferreira||reportagem,conforme legenda,,1967 e 1968,conforme legenda,conforme legenda
127,O Homem do Prrincípio ao Fim||reportagem,conforme legenda,,1967 e 1968,conforme legenda,O homem do princípio ao fim
128,O Homem do Prrincípio ao Fim||escrito,Sergio Britto,,de outubro de 1967 até dezembro de 1968,,Álbum 16
129,Rei Lear||reportagem,conforme legenda,,1983,conforme legenda,conforme legenda
130,Homenagem,conforme legenda,,conforme legenda,,Homenagens
131,Viagens||reportagem,conforme legenda,,1973,conforme legenda,Viagem a New York
132,Os Efeitos dos Raios Gama,,"Eva Todor, Maria Helena Pader, Patrícia Bueno e Marina Sanches. Cenários e figurinos de Pernambuco de Oliveira.||Cenários e figurinos de Pernambuco de Oliveira.",1973,,Foto Os efeitos do raios gama nas margaridas do campo
133,Teatro||reportagem,conforme legenda,,1973,conforme legenda,Teatro
134,Os Efeitos dos Raios Gama||reportagem,conferir na legenda das imagens,,1973,conferir na legenda das imagens,Os efeitos dos raios gama nas margaridas do campo
135,A Missa Leiga||divulgação,conferir na legenda das imagens,,1973,conferir na legenda das imagens,A missa leiga
136,Outros||reportagem,conforme legenda,,1973,conforme legenda,Molière no Teatro Municipal
137,Professor||reportagem,Henrique Oscar,,1973,Diário de Notícias,Muitos jovens querem fazer teatro
138,Prêmios||reportagem,conferir na legenda das imagens,,1973,conferir na legenda das imagens,Prêmios 1972
139,A Missa Leiga||reportagem,conferir na legenda das imagens,,1973,conferir na legenda das imagens,A missa leiga
140,A festa de aniversário||reportagem,conferir na legenda das imagens,,1973,conferir na legenda das imagens,A festa de aniversário
141,Tango||reportagem,conforme legenda,,1972 e 1973,conforme legenda,Tango
142,Tango||reportagem,Henrique Oscar,,1973,Diário de Notícias,Algumas broncas na premiação estadual
143,A festa de aniversário||reportagem,,,1973,O Jornal,Close
144,Tango||reportagem,Gilberto Tumscitz,,1973,O Globo,"Paulo, Amir, Dina e Sergio, os Prêmios Estaduais de 72"
145,Tango||reportagem,Daniel Mas,,1973,Última Hora,Mais do que artistas
146,A festa de aniversário||reportagem,,,1973,O Jornal,Close
147,A festa de aniversário||reportagem,,,1973,,Sérgio Britto já preparando-se para a Festa de Aniversáro
148,Prêmios||reportagem,,,1973,O Globo,"Melhores do Teatro são Pontes e Amir, Sergio Britto e Dina"
149,A festa de aniversário||reportagem,,,1973,Última Hora,Violência um tema de festa
150,A festa de aniversário||reportagem,Gilberto Tumscitz,,1973,O Globo,A festa no Senac
151,A festa de aniversário||reportagem,,,1973,Jornal do Brasil,"Pinter, a violência no palco"
152,A festa de aniversário||reportagem,,,1973,Jornal do Brasil,"Claudio Marzo, a briga livre em qualquer frente"
153,A festa de aniversário||reportagem,Gil Brandão,,1973,,Sergio Britto estreando nova peça no teatro do Senac
154,A festa de aniversário||divulgação,,,1973,,A festa da ameaça
155,A festa de aniversário||reportagem,,,1973,,A festa da ameaça
156,A festa de aniversário||reportagem,,,1973,,A festa da ameaça
157,A festa de aniversário||reportagem,Ney Machado,,1973,O Jornal,Papinho com Renata
158,A Missa Leiga||reportagem,Yan Michalski,,1973,Jornal do Brasil,A missa leiga
159,A festa de aniversário||reportagem,Yan Michalski,,1973,Jornal do Brasil,Pinter e Tchecov dramaturgos da angústia cotidiana
160,A festa de aniversário||reportagem,Roy Sugar,,1973,Última Hora,"Elza Gomes, essa atriz jóia, está intrujadíssima na festa"
161,A festa de aniversário||reportagem,Sieiro Netto,,1973,Tribuna da Imprensa,A festa de aniversário
162,A festa de aniversário||reportagem,,,1973,Brazil Herald,brazilian Theater Past and future
163,A festa de aniversário||reportagem,Ney Machado,,1973,Gil Brandão,Sergio Britto explica na seção de hoje por que Festa de aniversário teve sua estréia adiada
164,A festa de aniversário||reportagem,Ney Machado,,1973,O Jornal,Amir é fogo na roupa..
165,A festa de aniversário||reportagem,,,1973,Diário de Notícias,A festa de aniversário
166,A festa de aniversário||reportagem,Ney Machado,,1973,Correio da Manhã,A festa de aniversário
167,A festa de aniversário||reportagem,Yan Michalski,,1973,Jornal do Brasil,A festa de aniversário
168,Tango||reportagem,Gilberto Tumscitz,,1973,Globo,Retrospecto 72 - os atores
169,A festa de aniversário||reportagem,Yan Michalski,,1972,Jornal do Brasil,A imprevisível rotina do teatro carioca
170,A festa de aniversário||reportagem,Anamaria de Moraes,,1972,Desfile,Espetáculos A festa que ameaça
171,Tango||reportagem,José Márcio Penido,,1968,Veja,Os dez espetáculos de 72
172,A Volta ao Lar||reportagem,,,1968,,Mágica mas só para mágicos
173,A Missa Leiga||escrito,Sergio Britto,,1973,,Álbum 1973
174,Novelas e Minisséries||reportagem,,,1969,,Barra Limpa dois homens contra um patife
175,Novelas e Minisséries||reportagem,,,1969,,Eles estão fazendo muita fofoca
176,Novelas e Minisséries||reportagem,,,1969,,Variedades retrato de um moço chamado Sadi
177,Novelas e Minisséries||reportagem,,,1969,Última Hora,Sérgio Britto é um galã de vida simples
178,Novelas e Minisséries||reportagem,,,1969,,Fernanda Montenegro e Tônia Carrero amigas na estória e na vida real
179,Novelas e Minisséries||reportagem,Tevelino sabe-tudo,,1969,,"Mauroo e Rita, uma cena de amor"
180,Novelas e Minisséries||reportagem,,,1969,,Sangue do meu sangue
181,Novelas e Minisséries||reportagem,,,1969,,Futuro
182,Outros||reportagem,Genet,,1969,,O Balcão
183,Outros||reportagem,,,1969,Gazeta,Teatro esse balcão é um funil
184,Novelas e Minisséries||reportagem,,,1969,Cidade de Santos,Família garante Ibope
185,Novelas e Minisséries||reportagem,,,1969,Jornal da Tarde,Cultura somente com  diálogo em brasileiro
186,Novelas e Minisséries||reportagem,,,1969,,Na TV volta
187,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,Sangue do meu sangue
188,Novelas e Minisséries||reportagem,,,1969,,"Saloomé Parisio, seu sangue no 9"
189,Novelas e Minisséries||reportagem,,,1969,,Mais gente no sangue
190,Novelas e Minisséries||reportagem,,,1969,,Por ordem da censura Sangue do meu sangue muda de horário
191,Sergio Britto||escrito,Nelson Portella,,1981,,Postal Nelson Portella
192,Novelas e Minisséries||escrito,Sergio Britto,,1969,,Álbum 18
193,Novelas e Minisséries,,"Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",1969,,Sangue do meu sangue
194,Novelas e Minisséries||reportagem,,,1969,Popular da Tarde,Por causa da censura essa novela muda de horário
195,Novelas e Minisséries||reportagem,Jeffeerson Del Rios,,1969,Folha de São Paulo,O diretor conta a historia pela imagem
196,Novelas e Minisséries||reportagem,,,1969,,Estréia
197,Novelas e Minisséries||reportagem,,,1969,Folha ilustrada,O cana 9 resume hoje Sangue do meu sangue
198,Novelas e Minisséries||reportagem,,,1969,,Censura muda o horário de sangue do meu sangue
199,Novelas e Minisséries||reportagem,,,1969,,Uma festa requintada hoje a noite no nove
200,Novelas e Minisséries||reportagem,,,1969,A Gazeta Esportiva,Elaine faz anos
201,Novelas e Minisséries||reportagem,,,1969,A Gazeta,São três histórias em sangue do meu sangue
202,Novelas e Minisséries||reportagem,,,1969,,Televisão Tônia x Nicete
203,Novelas e Minisséries||reportagem,,,1969,Última Hora,"Peirão de Castro, um vigarista de primeira classe, no Canal 9"
204,Novelas e Minisséries||reportagem,,,1969,,"Tonia Carrero, a principiante em telenovela"
205,Novelas e Minisséries||reportagem,Alberto Witkowski,,1969,Cidade de Santos,Imagem e som Tônia também aderiu
206,Novelas e Minisséries||reportagem,,,1969,,Televisão é o teleteatro que volta por cima
207,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,Todos os domingos
208,Novelas e Minisséries||reportagem,,,1969,,Barra limpa terror e suspense no Estúdio 9
209,Novelas e Minisséries||reportagem,,,1969,Gazeta esportiva,Estúdio nove é a vez do teatro na tv
210,Novelas e Minisséries||divulgação,,,1969,,A noite tudo encobre
211,Novelas e Minisséries||reportagem,,,1969,,Moracy do Val Show
212,Novelas e Minisséries||reportagem,,,1969,Notícias Populares,Barra limpa terror e suspense no estúdio 9
213,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,Sangue do meu sangue
214,Novelas e Minisséries||reportagem,Regina Helena,,1969,,Um galã que não é só bonito
215,Novelas e Minisséries||reportagem,,,1969,Notícias Populares,Telex
216,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,TV-Show
217,Novelas e Minisséries||reportagem,,,1969,Última Hora,Pediram bis na TV-Excelcior
218,Novelas e Minisséries||reportagem,,,1969,O popular,A muralha
219,Novelas e Minisséries||reportagem,,,1969,,A muralha chega ao fim
220,Novelas e Minisséries||reportagem,,,1969,,As lágrimas disseram adeus à Muralha
221,Novelas e Minisséries||reportagem,,,1969,,Uma novela na Bahia
222,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,Novela de época traz Tonia Carrero do Rio
223,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,Francisco Cuoco morreu
224,Novelas e Minisséries||reportagem,,,1969,Popular da Tarde,"Aqui, a estréia do nove"
225,Novelas e Minisséries||reportagem,,,1969,A Gazeta,Sangue do meu sangue começa dia 31
226,Novelas e Minisséries||reportagem,,,1969,O popular,"Finalmente, A muralha"
227,Novelas e Minisséries||reportagem,,,1970,O Jornal,Sergio Britto em cenário de todos os santos
228,Novelas e Minisséries||reportagem,,,1970,,"Tonia Carrero, a atração de Sangue do meu sangue"
229,Novelas e Minisséries||reportagem,Caio Gracoo,,1970,,"Sangue do meu sangue, proxima estreia do nove"
230,Novelas e Minisséries||reportagem,Regina Helena,,1970,A Gazeta,O galã dos cabelos prateados
231,Novelas e Minisséries||reportagem,,,1970,,Notícias Tv-Excelsior lança em abril mais uma novela
232,Novelas e Minisséries||reportagem,,,1970,,Sorteio de Jantar
233,Novelas e Minisséries||reportagem,,,1970,,Eles são 9 atores do 9
234,Novelas e Minisséries||reportagem,,,1970,City News de S. Paulo,A disputadissima Fernanda
235,Novelas e Minisséries||reportagem,,,1970,Popular da Tarde,Notícias do 9
236,Novelas e Minisséries||reportagem,,,1970,,O fim da novela A muralha
237,Novelas e Minisséries||reportagem,Oswaldo Coimbra,,1970,,A muralha: mortos e feridos
238,Novelas e Minisséries||reportagem,,,1970,,Telenovela
239,Novelas e Minisséries||reportagem,,,1970,,A muralha campeã absoluta no horario
240,Novelas e Minisséries||reportagem,,,1970,,Exclusivo O massacre dos bandeirantes em A muralha
241,Novelas e Minisséries||reportagem,,,1970,,Novela A muralha
242,Novelas e Minisséries||reportagem,,,1970,,Odio de Paulo Goulart contra Bento Coutinho
243,Novelas e Minisséries||reportagem,,,1970,,Novela acabou com carnaval e ié-ié-ié
244,Novelas e Minisséries||reportagem,,,1970,Folha de São Paulo,A muralha acaba no dia 7 de março
245,Novelas e Minisséries||reportagem,,,1970,,D. Bras Olinto vai morrer hoje
246,Novelas e Minisséries||reportagem,,,1970,,Um episódio histórico em A muralha
247,Novelas e Minisséries||reportagem,,,1970,Folha de São Paulo,A muralha perto do fim: como as coisas irão findar?
248,Novelas e Minisséries||reportagem,,,1970,,Best sellers da última semana
249,Novelas e Minisséries||reportagem,,,1969,Última Hora,"Fernanda Montenegro, aliás Mãe Candida"
250,Novelas e Minisséries||reportagem,,,1969,,Isabel de Lizandra
251,Novelas e Minisséries||reportagem,,,1969,,Tamanho não é documento
252,Novelas e Minisséries||reportagem,,,1969,,Hoje na tv
253,Novelas e Minisséries||reportagem,,,1969,,Televisão
254,Novelas e Minisséries||reportagem,,,1969,,Maria Isabel também vai cantar
255,Novelas e Minisséries||reportagem,,,1969,,Foto Sergio Britto e Silvio de Abreu
256,Novelas e Minisséries||reportagem,,,1969,Popular da Tarde,Hollywod em Vila Guilherme
257,Novelas e Minisséries||reportagem,,,1969,A Gazeta,Uma batalha para tornar mais real a telenovela
258,Novelas e Minisséries||reportagem,,,1969,,Fim de A muralha
259,Novelas e Minisséries||reportagem,,,1969,Última Hora,Nathalia poderia dizer alguma coisa a Ingrid sobre certa enfermeira
260,Novelas e Minisséries||reportagem,,,1969,Folha da Tarde,Guerra de verdade contra os emboabas
261,Novelas e Minisséries||reportagem,,,1969,Jornal da Tarde,"Na praça, os mortos dessa briga"
262,Novelas e Minisséries||reportagem,,,1969,Folha da Tarde,Uma batalha em sua casa
263,Novelas e Minisséries||reportagem,,,1969,Notícias Populares,Bandeirantes e Emboabas invadiram Carapicuiba!
264,Novelas e Minisséries||reportagem,,,1969,Última Hora,"Agora, A muralha é a mais grandiosa produção da tevê brasileira"
265,Novelas e Minisséries||reportagem,,,1969,,Telenovela do 9 é guerra em Carapicuiba
266,Novelas e Minisséries||reportagem,,,1969,,Tv revive violentas lutas das bandeiras
267,Novelas e Minisséries||reportagem,,,1969,Folha de São Paulo,Batalha violenta na tevê: é A muralha
268,Novelas e Minisséries||reportagem,,,1969,,"Muralha vai pegar fogo, é a guerra"
269,Novelas e Minisséries||reportagem,,,1969,,A muralha
270,Novelas e Minisséries||reportagem,,,1969,,Patife da muralha já entra bem
271,Novelas e Minisséries||reportagem,,,1969,,Televisão
272,Novelas e Minisséries||reportagem,,,1969,,Leonel morre em A muralha
273,Novelas e Minisséries||reportagem,,,1969,,Os dez de maior audiência
274,Novelas e Minisséries||reportagem,,,1969,Telescópio,A Muralha
275,Novelas e Minisséries,,"Fernanda Montenegro, Rosamaria Murtinho, Arlete Montenegro, Nicete Bruno, Silvio de Abreu, Mauro Mendonça, Gianfrancesco Guarniere, Maria Isabel de Lisandra, Fernando Torres, Paulo Goulart, Edgard Franco, Stenio Garcia e Nathalia Timberg.",1968 e 1969,,A muralha
276,Teatro dos Quatro||escrito,Sergio Britto,,1979,,Álbum 38
277,"Afinal, uma Mulher de Negócios||reportagem",Flavio Marinho,,1979,O Globo,Venha tomar um café com Eva
278,"Afinal, uma Mulher de Negócios||reportagem",,,1979,Revista Manchete,Valendo por quatro
279,Os Veranistas||reportagem,Macksen Luiz,,1979,Jornal do Brasil,"Molière 78, prêmios concentrados"
280,Teatro dos Quatro||reportagem,,,1978,Tribuna da Imprensa,Rio terá três novos teatros
281,Teatro dos Quatro||reportagem,,,1978,Jornal do Brasil,Sergio Britto um centro ativo de cultura e arte
282,Os Veranistas||reportagem,Wilson Cunha,,1979,,Teatro Os Veranistas
283,Os Veranistas||reportagem,Miriam Alencar,,1979,,Prêmios Golfinho e Estácio em noite de festa
284,Os Veranistas||reportagem,,,1979,,"Chico Buarque ganha Molière de Teatro, como melhor autor"
285,Papa Higihrte||reportagem,Armindo Blanco,,1979,O Dia,O leque das opções nas kombis
286,"Afinal, uma Mulher de Negócios||reportagem",,,1979,O Globo,"Afinal, uma mulher de negócios"
287,"Afinal, uma Mulher de Negócios||reportagem",Edson Pinto,,1979,Revista Amiga,"Apenas uma mulher de negócios, um grande espetáculo em cartaz"
288,"Afinal, uma Mulher de Negócios||reportagem",Flavio Marinho,,1979,O Globo,Renata Sorrah o talento cultivado à luz da consciência
289,Papa Higihrte||reportagem,Norma Couri,,1979,,O respeitável público vai ao teatro
290,"Afinal, uma Mulher de Negócios||reportagem",Flavio Marinho,,1979,O Globo,"Afinal, uma mulher de negócios de Fassbinder."
291,"Afinal, uma Mulher de Negócios||reportagem",Antonia Eliana Chagas,,1979,Isto é,"Em cartaz, teatro"
292,Prêmios||reportagem,Yan Michalski,,1979,Jornal do Brasil,A resposta do oficina
293,Teatro dos Quatro||reportagem,Armindo Blanco,,1979,O Dia,Familia em causa
294,Teatro dos Quatro||reportagem,Yan Michalski,,1979,Jornal do Brasil,"A próxima semana, novas faiixas de horário"
295,Papa Higihrte||reportagem,Macksen Luiz,,1979,Jornal do Brasil,Teatro
296,Papa Higihrte||reportagem,,,1979,Nova,Bom teatro: Papa Highirte
297,Papa Higihrte||reportagem,Flavio Marinho,,1979,O Globo,"Angela Leal, meu papel é mostrar, educar, divertirr. E não julgar."
