,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
241,"Rio de Janeiro||Resende||-67,16575356||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/242/,2007||2009,Apoio e fomento,Nenhum registro encontrado
242,"Ceará||Fortaleza||-42,2617891||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
243,"Distrito Federal||Brasília||-63,709318||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
244,"Goiás||Goiânia||-65,9516855||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
245,"Mato Grosso do Sul||Campo Grande||-75,0912644||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2005||2005,Identificação,Nenhum registro encontrado
246,"Mato Grosso||Cuiabá||-71,6993026||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2008||2008,Identificação,Nenhum registro encontrado
247,"Pernambuco||Recife||-42,9245079||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
248,"Santa Catarina||Joinville||-75,1511814||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
249,"Amapá||Macapá||0,03557350000000089   -51,07053500000001||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2009||2009,Identificação,Nenhum registro encontrado
250,"Paraíba||João Pessoa||-41,9645076||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
251,"Piauí||Teresina||-47,9009666||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2006||2006,Identificação,Nenhum registro encontrado
252,"Pará||Belém||-49,94015401||Estadual||PA||Irituia, Itupiranga, Igarapé-Açu, Inhangapi, Ipixuna do Pará, Jacundá, Bannach, Breu Branco, Castanhal, Acará, Concórdia do Pará, Cumaru do Norte, Curionópolis, Benevides, Bonito, Aurora do Pará, Capanema, Bujaru, Belterra, Brasil Novo, Eldorado dos Carajás, Mãe do Rio, Capitão Poço, Magalhães Barata, Marabá, Nova Esperança do Piriá, Marituba, Nova Timboteua, Garrafão do Norte, Goianésia do Pará, Mocajuba, Nova Ipixuna, Ourém, Peixe-Boi, Prainha, Primavera, Santa Bárbara do Pará, Medicilândia, Moju, Monte Alegre, São Francisco do Pará, Santa Cruz do Arari, Santa Isabel do Pará, Santa Maria do Pará, Pau D'arco, Santarém Novo, Porto de Moz, São Domingos do Araguaia, São Domingos do Capim, Redenção, Terra Alta, Sapucaia, Santarém, São Miguel do Guamá, Senador José Porfírio, Tailândia, Tomé-Açu, Tucumã, Tucuruí, Uruará, Ananindeua, Anapu, Placas, Baião, Água Azul do Norte, Alenquer, Cametá, Canaã dos Carajás, Curuá, Parauapebas, Ourilândia do Norte, Pacajá, Novo Repartimento, Rurópolis, Santa Luzia do Pará, Trairão, Vitória do Xingu",Formas de expressão||Não informado,Não informado||Não informado,Reconhecimento,Carimbó
253,"Pará||Belém||-49,94021004||Estadual||Local||PA||Benevides, Santa Bárbara do Pará, Santa Isabel do Pará, Ananindeua",Formas de expressão||Formas de expressão||Não informado,Não informado||Não informado,Identificação,Carimbó||Grupos Folclóricos e Parafolclóricos
254,"Pará||Cametá||-51,74220134||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Local||Local||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||PA||Cametá",Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Saberes||Formas de expressão||Celebrações||Formas de expressão||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Saberes||Saberes||Não informado,Não informado||Não informado,Identificação,Carimbó||Banguês de Igarapé-Miri||Festas de Carimbó de Irituia||Folia de Santos Reis e outras manifestações acompanhadas por conjuntos de carimbó||Complexo Dona Carmen||Folia de São Benedito||Festival de Cultura de Irituia||Festa da Marujada de São Benedito||Festa da Marujada de Boa Vista||Confecção de Rabeca||Festa de Carimbó de Santarém Novo||Festa do Glorioso São Sebastião||Festa de Carimbó da Vila de Peri Meri||Casa Grande||Ladainhas e Folias||Cordões e Comédias||Danças de Carimbó||Festival de Carimbó de Santarém Novo - Festirimbó||Barracão da Irmandade de São Benedito||Confecção de Instrumentos de Percussão||Feitura do Beiju Chica
255,"Pará||Belém||-49,81908792||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Celebrações||Formas de expressão||Formas de expressão||Saberes||Celebrações||Saberes||Formas de expressão||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Formas de expressão||Formas de expressão||Não informado,Não informado||Não informado,Identificação,Confecção/Feitura de Maraca||Festividade de São Benedito||Conjuntos de Jazzi||Danças e Brincadeiras em São João da Ponta||Feitura de Carimbó/Curimbó/Tambor||Festividade e Folia de São Benedito||Feitura de Banjo (Marapanim)||Boi de Máscara||Feitura do Banjo||Feitura do Curimbó/Tambor/Carimbó (Colares)||Feitura das Maracas||Feitura do Carimbó/Tambor/Curimbó (Marapanim)||Feituras de Milheiros e Maracas||Feitura da Flauta||Barracão||Confecção/Feitura de Banjo (Vigia)||Festival de Folclore||Folguedos na Vila de Ponta de Ramos
256,"Pernambuco||Recife||-42,9456402||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Reconhecimento,Nenhum registro encontrado
257,"Pernambuco||Recife||-42,97104895||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Celebrações||Celebrações||Celebrações||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Celebrações||Saberes||Celebrações||Celebrações||Formas de expressão||Formas de expressão||Lugares||Lugares||Saberes||Saberes||Celebrações||Não informado,Não informado||Não informado,Identificação,Cavalo-Marinho||Festa de Santo Reis / Camutanga||Encontro de Cavalos Marinhos||Festa de São Sebastião / Condado||Casa de Mestre Salustiano||Sede do Cavalo-Marinho de Mestre Batista||Casa da Rabeca do Brasil||Avenida Timbaúba||Rua do Maranhão||Terreiro de Biu Roque||Festa de São José / Feira Nova||Ofício de Rabequeiro||Festa de Fim de Ano||Festa dos Padroeiros||Toadas||Lôas||Engenhos/Usinas||Terreiros||Modo de Fazer Máscaras||Modos de Fazer Rabeca||Festa de Nossa Senhora da Glória
258,"Goiás||Pirenópolis||-64,81030413||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2008||2008,Identificação,Nenhum registro encontrado
259,"Rio Grande do Sul||São Miguel das Missões||-83,1105639||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Reconhecimento,Nenhum registro encontrado
260,"Pernambuco||Recife||-42,97361458||Nenhum registro encontrado||PE||Trindade, João Alfredo, Joaquim Nabuco, Caruaru, Jaboatão dos Guararapes, Moreno, Parnamirim, São Lourenço da Mata, Tupanatinga, Jaqueira, Araçoiaba, Saloá, Afogados da Ingazeira, Sanharó, Agrestina, Angelim, Barra de Guabiraba, Alagoinha, Aliança, Altinho, Amaraji, Belém de Maria, Belo Jardim, Buenos Aires, Bom Jardim, Cachoeirinha, Betânia, Bezerros, Brejão, Brejo da Madre de Deus, Buíque, Camocim de São Félix, Lagoa do Carro, Caetés, Calçado, Calumbi, Gravatá, Carpina, Capoeiras, Chã de Alegria, Carnaubeira da Penha, Lagoa do Itaenga, Catende, Chã Grande, Condado, Ferreiros, Cortês, Cumaru, Custódia, Escada, Feira Nova, Flores, Gameleira, Garanhuns, Glória do Goitá, Jucati, Granito, Frei Miguelinho, Ibimirim, Ibirajuba, Ingazeira, Machados, Jupi, Itaquitinga, Jurema, Lagoa dos Gatos, Mirandiba, Lajedo, Limoeiro, Nazaré da Mata, Paudalho, Palmares, Panelas, Paranatama, Passira, Sairé, Riacho das Almas, Pedra, Ribeirão, São Caitano, Salgadinho, Rio Formoso, Pombos, Primavera, São João, Santa Cruz, São Bento do Una, São Joaquim do Monte, Vicência, Tamandaré, Tracunhaém, Sirinhaém, Surubim, Tacaimbó, Terezinha, Terra Nova, Toritama, Venturosa, Vitória de Santo Antão, Bonito, Camaragibe, Cupira",Nenhum registro encontrado||Não informado,Não informado||Não informado,Reconhecimento,Nenhum registro encontrado
261,"Pernambuco||Recife||-42,95466537||Estadual||Estadual||Estadual||Local||Local||Local||Local||Local||Local||PE||Condado, Itaquitinga, Nazaré da Mata",Formas de expressão||Celebrações||Celebrações||Celebrações||Celebrações||Lugares||Lugares||Lugares||Saberes||Não informado,Não informado||Não informado,Identificação,Maracatu do Baque Solto||Carnaval de Páscoa||Concurso de Agremiações Carnavalescas||Encontro de Maracatus de Aliança||Encontro de Maracatus de Nazaré da Mata||Parque dos Lanceiros||Praça João XXIII / Pátio da Catedral de Nazaré da Mata||Terreiro Leda Alves||Poesia do Mestre de Apito
262,"Pernambuco||Recife||-42,96273658||Nenhum registro encontrado||PE||Trindade, João Alfredo, Joaquim Nabuco, Caruaru, Jaboatão dos Guararapes, Moreno, Parnamirim, São Lourenço da Mata, Tupanatinga, Jaqueira, Araçoiaba, Saloá, Afogados da Ingazeira, Sanharó, Agrestina, Angelim, Barra de Guabiraba, Alagoinha, Aliança, Altinho, Amaraji, Belém de Maria, Belo Jardim, Buenos Aires, Bom Jardim, Cachoeirinha, Betânia, Bezerros, Brejão, Brejo da Madre de Deus, Buíque, Camocim de São Félix, Lagoa do Carro, Caetés, Calçado, Calumbi, Gravatá, Carpina, Capoeiras, Chã de Alegria, Carnaubeira da Penha, Lagoa do Itaenga, Catende, Chã Grande, Condado, Ferreiros, Cortês, Cumaru, Custódia, Escada, Feira Nova, Flores, Gameleira, Garanhuns, Glória do Goitá, Jucati, Granito, Frei Miguelinho, Ibimirim, Ibirajuba, Ingazeira, Machados, Jupi, Itaquitinga, Jurema, Lagoa dos Gatos, Mirandiba, Lajedo, Limoeiro, Nazaré da Mata, Paudalho, Palmares, Panelas, Paranatama, Passira, Sairé, Riacho das Almas, Pedra, Ribeirão, São Caitano, Salgadinho, Rio Formoso, Pombos, Primavera, São João, Santa Cruz, São Bento do Una, São Joaquim do Monte, Vicência, Tamandaré, Tracunhaém, Sirinhaém, Surubim, Tacaimbó, Terezinha, Terra Nova, Toritama, Venturosa, Vitória de Santo Antão, Bonito, Camaragibe, Cupira",Nenhum registro encontrado||Não informado,Não informado||Não informado,Reconhecimento,Nenhum registro encontrado
263,"Pernambuco||Recife||-42,93638542||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Celebrações||Celebrações||Formas de expressão||Formas de expressão||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Formas de expressão||Formas de expressão||Lugares||Lugares||Lugares||Lugares||Formas de expressão||Celebrações||Celebrações||Lugares||Lugares||Não informado,Não informado||Não informado,Identificação,Maracatu Nação||Coroação de Rei e Rainha de Maracatu||Obrigações Religiosas||Calunga||Toada/Loa||Abertura do Carnaval||Carnaval do Recife||Noite dos Tambores Silenciosos||Terça-Negra||Traga a Vasilha||Grupos Percursivos||Maracatus Mirins||Igreja de Nossa Senhora do Rosário dos Homens Pretos de Recife||Passarela||Pátio de São Pedro||Pátio do Terço||Igreja de Nossa Senhora do Rosário dos Homens Pretos de Igarassu||Carnaval de Olinda||Noite para os Tambores Silenciosos de Olinda||Igreja de Nossa Senho do Rosário dos Homens Pretos de Olinda||Igreja de Nossa Senhora dos Prazeres
264,"Distrito Federal||Brasília||-63,70277886||Fundação de Desenvolvimento da Unicamp - FUNCAMP||Associação Comunitária da Vila de São Jorge - ASJOR||Grupo de Pesquisa Estudos da Paisagem - Departamento de Arquitetura e Urbanismo da Universidade Federal de Alagoas||Organização dos Professores Indígenas do Acre - OPIAC||Instituto de Desenvolvimento Sustentável Mamirauá – IDSM||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Fundação de Empreendimentos Científicos e Tecnológicos - FINATEC/UnB||Fundação Museu do Homem Americano – FUMDAHM||Fundação de Apoio ao Desenvolvimento da Educação de Mato Grosso do Sul – FADEMS/UFMS||Coletivo de Cultura e Educação Meio do Mundo||Fundação Cultural do Piauí - FUNDAC||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Referência/Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/265/,2005||2005,Apoio e fomento,Nenhum registro encontrado
265,"Amazonas||Maraã||-67,91009026||Instituto de Desenvolvimento Sustentável Mamirauá – IDSM||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/266/,2004||2005,Apoio e fomento,Nenhum registro encontrado
266,"Amapá||Macapá||0,03987214864642932   -51,07040679585285||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/267/,2005||2005,Apoio e fomento,Nenhum registro encontrado
267,"Pará||Altamira||-56,22399353||Fundação de Desenvolvimento da Unicamp - FUNCAMP||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/268/,2005||2005,Apoio e fomento,Nenhum registro encontrado
268,"Mato Grosso||Feliz Natal||-65,24493776||Fundação de Empreendimentos Científicos e Tecnológicos - FINATEC/UnB||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/269/,2004||2005,Apoio e fomento,Nenhum registro encontrado
269,"Goiás||Colinas do Sul||-62,23507872||Associação Comunitária da Vila de São Jorge - ASJOR||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/270/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
270,"Alagoas||Maceió||-45,37209515||Grupo de Pesquisa Estudos da Paisagem - Departamento de Arquitetura e Urbanismo da Universidade Federal de Alagoas||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/271/,2005||2005,Apoio e fomento,Nenhum registro encontrado
271,"Piauí||São Raimundo Nonato||-51,70041219||Fundação Museu do Homem Americano – FUMDAHM||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/272/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
272,"Acre||Jordão||-81,32623991||Organização dos Professores Indígenas do Acre - OPIAC||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/273/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
273,"Distrito Federal||Brasília||-63,72190091||Museu Antropológico – Universidade Federal de Goiás||Associação dos Amigos do Arquivo Público do Estado do Ceará - AAAP||Universidade Federal do Pernambuco - UFPE||Instituto Superior e Centro Educacional Bom Jesus (IELUSC)||Universidade Federal de Alagoas - UFAL||Núcleo de Estudos da Cultura, Oralidade, Imagem e Memória – NECOIM – CEAM/UnB||Instituto Estadual do Patrimônio Histórico e Artístico de Minas Gerais||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/274/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
274,"Minas Gerais||Belo Horizonte||-63,85362319||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
275,"Distrito Federal||Brasília||-63,70974932||ACIMRN – Associação das Comunidades Indígenas do Rio Negro||Fundação Municipal de Ação Cultural||Fundação Apolônio Salles - FADURPE||Fundação Regional Integrada||Instituto Socioambiental - ISA||Associação Vianei de Intercâmbio e Cooperação no Trabalho, Educação, Cultura e Saúde||Associação Carolina Via Verde||Vídeo nas Aldeias||Guaimbê – Espaço e Movimento CriAtivo||Guaimbê – Espaço e Movimento CriAtivo||Universidade Federal do Rio Grande do Sul||Associação Cultural Cachuera!||Associação de Pais e Mestres EMEF Desembargador Amorim Lima||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Referência/Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/276/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
276,"Santa Catarina||Capão Alto||-78,27866846||Associação Vianei de Intercâmbio e Cooperação no Trabalho, Educação, Cultura e Saúde||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/277/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
277,"Alagoas||Maceió||-45,35705818||Fundação Municipal de Ação Cultural||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/278/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
278,"Tocantins||Babaçulândia||-54,64767799||Associação Carolina Via Verde||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/279/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
279,"Acre||Jordão||-80,51586835||Vídeo nas Aldeias||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/280/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
280,"Pernambuco||Recife||-42,96541585||Fundação Apolônio Salles - FADURPE||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/281/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
281,"Goiás||Pirenópolis||-64,81042357||Guaimbê – Espaço e Movimento CriAtivo||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/282/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
282,"Rio Grande do Sul||Viamão||-81,17471136||Universidade Federal do Rio Grande do Sul||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/283/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
283,"Rio Grande do Sul||Gramado dos Loureiros||-80,40577678||Fundação Regional Integrada||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/284/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
284,"São Paulo||Guaratinguetá||-67,99028606||Associação Cultural Cachuera!||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/285/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
285,"Amazonas||Santa Isabel do Rio Negro||-65,62348805||ACIMRN – Associação das Comunidades Indígenas do Rio Negro||Instituto Socioambiental - ISA||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/286/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
286,"São Paulo||São Paulo||-70,22345996||Associação de Pais e Mestres EMEF Desembargador Amorim Lima||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/287/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
287,"Distrito Federal||Brasília||-63,75042771||Associação Brasileira de Linguística (ABRALIN)||Laboratório de Línguas Indígenas - LALI/UnB||Fundação UNISELVA – Fundação de Apoio à Universidade Federal de Mato Grosso, Estado de Mato Grosso||""Departamento de Linguística Faculdade de Ciências e Letras – Universidade Estadual Paulista 'Júlio de Mesquita Filho'""||""Laboratório de Aquisição da Fala e da Escrita Departamento de Letras Clássicas e Vernáculas – Universidade Federal da Paraíba""||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/288/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
288,"Distrito Federal||Brasília||-63,69363355||Associação Brasileira de Linguística (ABRALIN)||Laboratório de Línguas Indígenas - LALI/UnB||""Departamento de Linguística Faculdade de Ciências e Letras – Universidade Estadual Paulista 'Júlio de Mesquita Filho'""||""Laboratório de Aquisição da Fala e da Escrita Departamento de Letras Clássicas e Vernáculas – Universidade Federal da Paraíba""||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/289/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
289,"Distrito Federal||Brasília||-63,7016655||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/290/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
290,"Distrito Federal||Brasília||-63,72210894||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/291/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
291,"Distrito Federal||Brasília||-63,71371318||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/292/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
292,"Distrito Federal||Brasília||-63,71931036||Associação Gãbgir do Povo Indígena Paiter Suruí||Universidade Federal do Maranhão - UFMA||Instituto Amazônico de Planejamento, Gestão Urbana e Ambiental - Iagua||Centro de Trabalho Indigenista - CTI||Clube do Violeiro Caipira de Brasília||Cooperativa Catarse Coletivo de Comunicação||Associação Comunitária Beneficente de Encruzilhada e Umburanas||Conselho Nacional de Populações Extrativistas (CNS)||Instituto de Pesquisas Cananéia - IPeC||Universidade Federal do Rio Grande do Sul||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/293/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
293,"Maranhão||Montes Altos||-52,70550724||Centro de Trabalho Indigenista - CTI||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/294/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
294,"Rondônia||Cacoal||-72,88093161||Associação Gãbgir do Povo Indígena Paiter Suruí||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/295/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
295,"Maranhão||São Luís||-46,84896327||Universidade Federal do Maranhão - UFMA||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/296/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
296,"Pará||Belém||-49,92893048||Instituto Amazônico de Planejamento, Gestão Urbana e Ambiental - Iagua||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/297/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
297,"Distrito Federal||Brasília||-63,69617234||Associação Artístico Cultural Nhandeva||Associação Filmes de Quintal||Associação Cultural e Religiosa São Salvador - Ilê Axé Oxumarê||Associação dos Voluntários para o Bem Comum||Centro de Documentação e Comunicação Popular – CECOP||Prefeitura Municipal de São Sebastião||INBRAPI - Instituto Indígena Brasileiro para Propriedade Intelectual||Associação Civil Capoeira Cidadã||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/298/,Não informado||2010,Apoio e fomento,Nenhum registro encontrado
298,"Distrito Federal||Brasília||-63,69891892||Associação Artístico Cultural Nhandeva||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/299/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
299,"Distrito Federal||Brasília||-63,704516||Associação Filmes de Quintal||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/300/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
300,"Distrito Federal||Brasília||-63,70340234||Associação Cultural e Religiosa São Salvador - Ilê Axé Oxumarê||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/301/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
301,"Distrito Federal||Brasília||-63,6938412||Associação dos Voluntários para o Bem Comum||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/302/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
302,"Distrito Federal||Brasília||-63,68977322||Centro de Documentação e Comunicação Popular – CECOP||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/303/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
303,"Distrito Federal||Brasília||-63,69643206||Prefeitura Municipal de São Sebastião||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/304/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
304,"Distrito Federal||Brasília||-63,69505877||INBRAPI - Instituto Indígena Brasileiro para Propriedade Intelectual||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/305/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
305,"Distrito Federal||Brasília||-63,68301052||Associação Civil Capoeira Cidadã||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/306/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
306,"Distrito Federal||Brasília||-63,71666776||Escola de Capoeira Cordão de Ouro||Cooperativa Catarse Coletivo de Comunicação||Instituto Socioambiental - ISA||Prefeitura de Ouro Preto (MG)||Associação Filmes de Quintal||Círculo Cultural Ítalo-brasileiro de Antônio Prado-RS||Folclore Ucraniano Kalena||Fundação de Empreendimentos Científicos e Tecnológicos - FINATEC/UNB||Espaço Cultural Pés no Chão||Instituto de Investigação e Desenvolvimento em Política Linguística - IPOL||Prefeitura Municipal Pinhalzinho||Não informado||Não informado",Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/307/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
307,"Distrito Federal||Brasília||-63,70324659||Escola de Capoeira Cordão de Ouro||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/308/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
308,"Distrito Federal||Brasília||-63,70314271||Cooperativa Catarse Coletivo de Comunicação||Não informado||Não informado",Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/309/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
