Nome;Condição;Tipo;UF;Município;Coordenada(s)_geográfica(s);Contatos;Bens_vinculados_Condição;Bens_vinculados_Nome;Bens_vinculados_Categoria;Bens_vinculados_Abrangência;Ações_vinculados_Tipo;Ações_vinculados_Nome;Ações_vinculados_Instrumento;Ações_vinculados_Situação;Página
Associação das Comunidades Indígenas do Médio Rio Negro;Referência/Partícipe;Associação de detentores;AM;Santa Isabel do Rio Negro;-0,4151780615576422   -65,01470609721898;Nenhum registro encontrado;Registrado;Sistema Agrícola Tradicional do Rio Negro;Saberes;Local;Reconhecimento;Registro do Sistema Agrícola Tradicional do Rio Negro como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/40/
Diocese de Caicó;Referência/Partícipe;Instituição religiosa;RN;Caicó;-6,467212483946176   -37,0990299522743;Nenhum registro encontrado;Registrado;Festa de Sant'Ana de Caicó no estado do Rio Grande do Norte;Celebrações;Local;Reconhecimento;Registro da Festa de Sant'Ana de Caicó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/41/
Iny Mahadu Coordenação;Referência/Partícipe;Associação de detentores;MT;São Félix do Araguaia;-11,618725850105932   -50,664048018994954;Nenhum registro encontrado;Registrado||Registrado;Rtixòkò: expressão artística e cosmológica do Povo Karajá||Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá;Formas de expressão||Saberes;Regional||Regional;Reconhecimento||Reconhecimento;Registro dos Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá como Patrimônio Cultural do Brasil||Registro do Ritxòkó: expressão artística e cosmológica do Povo Karajá como Patrimônio Cultural do Brasil;Registro||Registro;Registrado||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/42/
Associação de Cultura Popular Mandicuera;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PR;Paranaguá;-25,532096595966046   -48,50643764624479;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/43/
Associação dos Fandangueiros do Município de Guaraqueçaba;Referência/Partícipe;Associação de detentores;PR;Guaraqueçaba;-25,29809896672078   -48,32210529677993;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/44/
Associação dos Jovens da Juréia (AJJ);Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);SP;Iguape;-24,637532081249997   -47,37279113927575;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/45/
Núcleo de Apoio à Pesquisa dobre Populações Humanas em Áreas Úmidas Brasileiras (NUPAUB/USP);Referência/Partícipe;Fundação universitária;SP;São Paulo;-23,558431804431784   -46,72163056500936;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/46/
Associação Rede Cananéia;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);SP;Cananéia;-25,00847250416903   -47,940154834493164;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/47/
Instituto de Pesquisas Cananeia (IPeC);Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);SP;Cananéia;-25,01549227854959   -47,9281868178674;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/48/
Associação dos Fandangueiros de Cananéia;Referência/Partícipe;Associação de detentores;SP;Cananéia;-25,017368687663627   -47,92783813069565;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/49/
Associação Cultural Caburé;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);RJ;Rio de Janeiro;-22,93435157149143   -43,23455379964393;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/50/
Instituto Silo Cultural;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);RJ;Paraty;-23,223862583229288   -44,72914489202983;Nenhum registro encontrado;Registrado;Fandango Caiçara;Formas de expressão;Regional;Reconhecimento;Registro do Fandango Caiçara como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/51/
Instituto Histórico e Artístico de Paraty;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);RJ;Paraty;-23,22051031412858   -44,71324475698849;Nenhum registro encontrado;Registrado;Festa do Divino Espírito Santo de Paraty;Celebrações;Local;Reconhecimento;Registro da Festa do Divino Espírito Santo de Paraty como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/52/
Devoção do Senhor Bom Jesus do Bonfim;Referência/Partícipe;Instituição religiosa;BA;Salvador;-12,923922954030948   -38,50824795044552;Nenhum registro encontrado;Registrado;Festa do Senhor Bom Jesus do Bonfim;Celebrações;Local;Reconhecimento;Registro da Festa do Nosso Senhor Bom Jesus do Bonfim como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/53/
Irmandade do Glorioso São Sebastião de Cachoeira do Ariri;Referência/Partícipe;Instituição religiosa;PA;Cachoeira do Arari;-1,0125272248911241   -48,96074810178988;Nenhum registro encontrado;Registrado||Identificado;Festividades do Glorioso São Sebastião na Região do Marajó||Festividade do Glorioso São Sebastião de Cachoeira do Arari;Celebrações||Celebrações;Local||Local;Reconhecimento;Registro da Festividade de São Sebastião na Região do Marajó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/54/
Museu do Marajó;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PA;Cachoeira do Arari;-1,0078823609381338   -48,96040477903721;Nenhum registro encontrado;Registrado;Festividades do Glorioso São Sebastião na Região do Marajó;Celebrações;Local;Reconhecimento;Registro da Festividade de São Sebastião na Região do Marajó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/55/
(CAJUESPI) Cooperativa dos produtores de cajuína do Piauí;Referência/Partícipe;Outra;PI;Teresina;-5,076097630435721   -42,81508658186161;Nenhum registro encontrado;Registrado;Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí;Saberes;Local;Reconhecimento;Registro da Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/56/
Irmandade Carimbó de São Benedito;Referência/Partícipe;Associação de detentores;PA;Santarém Novo;-0,9281890327413882   -47,401371977003905;Nenhum registro encontrado;Registrado;Carimbó;Formas de expressão;Estadual;Reconhecimento;Registro do Carimbó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/57/
Prefeitura Municipal de Santarém Novo;Referência/Partícipe;Instituição pública municipal;PA;Santarém Novo;-0,9272503826441214   -47,396871230277526;Nenhum registro encontrado;Registrado;Carimbó;Formas de expressão;Estadual;Reconhecimento;Registro do Carimbó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/58/
Associação Cultural Raízes da Terra;Referência/Partícipe;Associação de detentores;PA;Marapanim;-0,7084788467254035   -47,695332134066824;Nenhum registro encontrado;Registrado;Carimbó;Formas de expressão;Estadual;Reconhecimento;Registro do Carimbó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/59/
Associação Cultural O Uirapuru;Referência/Partícipe;Associação de detentores;PA;Marapanim;-0,7048313199036507   -47,696544492542934;Nenhum registro encontrado;Registrado;Carimbó;Formas de expressão;Estadual;Reconhecimento;Registro do Carimbó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/60/
Associação Cultural Japiim (ASCUJA);Referência/Partícipe;Associação de detentores;PA;Marapanim;-0,7086504949757937   -47,70143684178379;Nenhum registro encontrado;Registrado;Carimbó;Formas de expressão;Estadual;Reconhecimento;Registro do Carimbó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/61/
Irmandade do Glorioso São Sebastião de Cachoeira do Ariri;Referência/Partícipe;Instituição religiosa;PA;Cachoeira do Arari;-1,0073674564422896   -48,934569741805134;Nenhum registro encontrado;Registrado||Identificado||Identificado||Identificado||Identificado;Festividades do Glorioso São Sebastião na Região do Marajó||Capela de Santana||Grupo Parafolclórico Tribo dos Anajás||Festival do Tucumã||Museu do Marajó;Celebrações||Lugares||Formas de expressão||Celebrações||Lugares;Local||Local||Local||Local||Estadual;Reconhecimento;Registro da Festividade de São Sebastião na Região do Marajó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/62/
Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho);Partícipe;Associação de detentores;MT;Cuiabá;-15,602715400580616   -56,09358137665973;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Divulgar e fomentar o modo de fazer viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Educação Patrimonial e Ambiental||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Plano de manejo para árvores matéria-prima da viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Elaboração de site||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Assessoria de Comunicação||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Adequação de Espaço||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Produção de livreto com partituras;Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/63/
Federação Mato-grossense das Associações e Grupos de Cururu Siriri;Partícipe;Associação de detentores;MT;Cuiabá;-15,599145153378636   -56,09705751954537;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Adequação de Espaço||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Produção de livreto com partituras||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Divulgar e fomentar o modo de fazer viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Educação Patrimonial e Ambiental||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Plano de manejo para árvores matéria-prima da viola de cocho||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Elaboração de site||Salvaguarda do Modo de Fazer Viola de Cocho - Casa Cuiabana (Convênio 2008/2009 celebrado com a Secretaria de Cultura do Mato Grosso - Assessoria de Comunicação;Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/64/
Associação Cultural do Tambor de Crioula do Estado do  Maranhão (ACTACEMA);Partícipe;Associação de detentores;MA;São Luís;-2,525410161345838   -44,29973313779602;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento||Apoio e fomento;"Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura";Registro||Ação de salvaguarda;Registrado||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/65/
União dos Tambores de Crioula do Estado do Maranhão - UNITA;Referência/Partícipe;Grupos de detentores;MA;São Luís;-2,511170667816873   -44,251523112962055;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Apoio e fomento||Reconhecimento;"Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil";Ação de salvaguarda||Registro;Concluída||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/66/
Secretaria de Patrimônio e Cultura da Prefeitura de Olinda;Partícipe;Instituição pública municipal;PE;Olinda;-8,01792198958007   -34,852190653346874;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Frevo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/67/
